user_id,risk_level_es,predicted_risk_label,risk_score_high,risk_score,operational_priority_score,channel_preference,main_driver,main_drivers,recommended_action_label,action_detail,review_priority,human_review_required,commercial_suppression,audit_required,anomaly_flag,anomaly_score,alert_reason,sessions_7d,sessions_30d,deposit_amount_7d,deposit_count_7d,net_loss_7d,net_loss_30d,night_sessions_ratio_30d,loss_chasing_events_30d,cancelled_limit_recently
U005307,Alto,high,0.99998856,0.99998856,0.9999919919999999,online,retornos rápidos después de pérdidas,retornos rápidos después de pérdidas | actividad nocturna recurrente | pérdida neta reciente elevada | incremento de depósitos frente al histórico | incremento reciente de frecuencia frente al histórico,Revisión humana y pausa preventiva,"Excluir de campañas comerciales, activar revisión humana, mostrar mensaje de pausa, sugerir herramientas de autoexclusión o enfriamiento y registrar alerta para auditoría.",human_review,1,1,1,1,0.0511653713419304,riesgo alto predicho por el modelo,12.0,41.0,6180.63,16.0,1488.09,3538.09,0.4146341463414634,4.0,1
U000100,Alto,high,0.9999883,0.9999883,0.9999918099999999,online,retornos rápidos después de pérdidas,retornos rápidos después de pérdidas | actividad nocturna recurrente | incremento de depósitos frente al histórico | pérdida neta reciente elevada | incremento reciente de frecuencia frente al histórico,Revisión humana y pausa preventiva,"Excluir de campañas comerciales, activar revisión humana, mostrar mensaje de pausa, sugerir herramientas de autoexclusión o enfriamiento y registrar alerta para auditoría.",human_review,1,1,1,1,0.09613777498782,riesgo alto predicho por el modelo,27.0,96.0,7910.14,24.0,1923.3,6026.86,0.4895833333333333,17.0,1
U004219,Alto,high,0.99998784,0.99998784,0.9999914879999999,online,retornos rápidos después de pérdidas,retornos rápidos después de pérdidas | actividad nocturna recurrente | pérdida neta reciente elevada | incremento de depósitos frente al histórico | incremento reciente de frecuencia frente al histórico,Revisión humana y pausa preventiva,"Excluir de campañas comerciales, activar revisión humana, mostrar mensaje de pausa, sugerir herramientas de autoexclusión o enfriamiento y registrar alerta para auditoría.",human_review,1,1,1,1,0.0701549609361517,riesgo alto predicho por el modelo,14.0,60.0,5369.76,13.0,2375.98,6312.57,0.5166666666666667,10.0,1
U009722,Alto,high,0.99998593,0.99998593,0.9999901509999999,online,retornos rápidos después de pérdidas,retornos rápidos después de pérdidas | actividad nocturna recurrente | incremento de depósitos frente al histórico | pérdida neta reciente elevada | sesión máxima especialmente larga,Revisión humana y pausa preventiva,"Excluir de campañas comerciales, activar revisión humana, mostrar mensaje de pausa, sugerir herramientas de autoexclusión o enfriamiento y registrar alerta para auditoría.",human_review,1,1,1,1,0.0962817561730957,riesgo alto predicho por el modelo,24.0,92.0,7896.9,26.0,2288.49,8657.27,0.4239130434782608,15.0,1
U001115,Alto,high,0.99998415,0.99998415,0.9999889049999998,online,retornos rápidos después de pérdidas,retornos rápidos después de pérdidas | actividad nocturna recurrente | pérdida neta reciente elevada | incremento de depósitos frente al histórico | incremento de pérdidas frente al histórico,Revisión humana y pausa preventiva,"Excluir de campañas comerciales, activar revisión humana, mostrar mensaje de pausa, sugerir herramientas de autoexclusión o enfriamiento y registrar alerta para auditoría.",human_review,1,1,1,1,0.0785708570425243,riesgo alto predicho por el modelo,14.0,33.0,9087.53,23.0,2292.89,5538.3,0.5151515151515151,6.0,1
U003072,Alto,high,0.9999832,0.9999832,0.9999882399999999,online,retornos rápidos después de pérdidas,retornos rápidos después de pérdidas | actividad nocturna recurrente | incremento de depósitos frente al histórico | pérdida neta reciente elevada | incremento reciente de frecuencia frente al histórico,Revisión humana y pausa preventiva,"Excluir de campañas comerciales, activar revisión humana, mostrar mensaje de pausa, sugerir herramientas de autoexclusión o enfriamiento y registrar alerta para auditoría.",human_review,1,1,1,1,0.0797262762415702,riesgo alto predicho por el modelo,21.0,66.0,10206.06,27.0,1460.22,5222.27,0.3636363636363636,8.0,1
U008604,Alto,high,0.9999821,0.9999821,0.9999874699999999,online,retornos rápidos después de pérdidas,retornos rápidos después de pérdidas | actividad nocturna recurrente | pérdida neta reciente elevada | incremento de depósitos frente al histórico | incremento de pérdidas frente al histórico,Revisión humana y pausa preventiva,"Excluir de campañas comerciales, activar revisión humana, mostrar mensaje de pausa, sugerir herramientas de autoexclusión o enfriamiento y registrar alerta para auditoría.",human_review,1,1,1,1,0.0504664245683862,riesgo alto predicho por el modelo,8.0,31.0,3263.71,13.0,1803.12,3191.36,0.5483870967741935,7.0,1
U002057,Alto,high,0.99998057,0.99998057,0.9999863989999999,retail,retornos rápidos después de pérdidas,retornos rápidos después de pérdidas | actividad nocturna recurrente | incremento de depósitos frente al histórico | pérdida neta reciente elevada | incremento reciente de frecuencia frente al histórico,Revisión humana y pausa preventiva,"Excluir de campañas comerciales, activar revisión humana, mostrar mensaje de pausa, sugerir herramientas de autoexclusión o enfriamiento y registrar alerta para auditoría.",human_review,1,1,1,1,0.0840710352246143,riesgo alto predicho por el modelo,17.0,56.0,8251.85,19.0,2786.85,7242.7,0.4285714285714285,12.0,1
U003727,Alto,high,0.999977,0.999977,0.9999839,retail,retornos rápidos después de pérdidas,retornos rápidos después de pérdidas | actividad nocturna recurrente | incremento de depósitos frente al histórico | pérdida neta reciente elevada | incremento reciente de frecuencia frente al histórico,Revisión humana y pausa preventiva,"Excluir de campañas comerciales, activar revisión humana, mostrar mensaje de pausa, sugerir herramientas de autoexclusión o enfriamiento y registrar alerta para auditoría.",human_review,1,1,1,1,0.0908047624594678,riesgo alto predicho por el modelo,19.0,87.0,5743.98,18.0,2327.6200000000003,7031.22,0.4367816091954023,14.0,1
U003991,Alto,high,0.9999683,0.9999683,0.99997781,online,retornos rápidos después de pérdidas,retornos rápidos después de pérdidas | actividad nocturna recurrente | pérdida neta reciente elevada | incremento de depósitos frente al histórico | sesión máxima especialmente larga,Revisión humana y pausa preventiva,"Excluir de campañas comerciales, activar revisión humana, mostrar mensaje de pausa, sugerir herramientas de autoexclusión o enfriamiento y registrar alerta para auditoría.",human_review,1,1,1,1,0.055582859326507,riesgo alto predicho por el modelo,10.0,54.0,4923.84,14.0,2658.39,6831.88,0.3518518518518518,11.0,1
